Index des jours,Average_timespent_per_person
12/9/2020,0:00:39
13/09/2020,0:00:38
14/09/2020,0:00:37
15/09/2020,0:00:40
16/09/2020,0:00:35
17/09/2020,0:00:38
18/09/2020,0:00:43
19/09/2020,0:00:42
20/09/2020,0:00:38
21/09/2020,0:00:46
22/09/2020,0:00:43
23/09/2020,0:00:49
24/09/2020,0:00:39
25/09/2020,0:00:52
26/09/2020,0:00:43
27/09/2020,0:00:43
28/09/2020,0:00:45
29/09/2020,0:00:52
30/09/2020,0:00:51
1/10/2020,0:00:43
2/10/2020,0:00:50
3/10/2020,0:00:36
4/10/2020,0:00:44
5/10/2020,0:00:43
6/10/2020,0:00:44
7/10/2020,0:00:46
8/10/2020,0:00:43
9/10/2020,0:00:39
10/10/2020,0:00:42
11/10/2020,0:00:44
12/10/2020,0:00:46
13/10/2020,0:00:43
14/10/2020,0:00:46
15/10/2020,0:00:41
16/10/2020,0:00:45
17/10/2020,0:00:42
18/10/2020,0:00:47
19/10/2020,0:00:47
20/10/2020,0:00:40
21/10/2020,0:00:44
22/10/2020,0:00:44
23/10/2020,0:00:44
24/10/2020,0:00:47
25/10/2020,0:00:50
26/10/2020,0:00:50
27/10/2020,0:00:46
28/10/2020,0:00:43
29/10/2020,0:00:49
30/10/2020,0:00:44
31/10/2020,0:00:42
1/11/2020,0:00:43
2/11/2020,0:00:44
3/11/2020,0:00:47
4/11/2020,0:00:56
5/11/2020,0:00:58
6/11/2020,0:00:51
7/11/2020,0:00:50
8/11/2020,0:00:47
9/11/2020,0:00:59
10/11/2020,0:00:57
11/11/2020,0:00:54
12/11/2020,0:00:50
13/11/2020,0:00:57
14/11/2020,0:00:52
15/11/2020,0:01:01
16/11/2020,0:00:51
17/11/2020,0:00:55
18/11/2020,0:00:43
19/11/2020,0:00:56
20/11/2020,0:00:57
21/11/2020,0:00:54
22/11/2020,0:00:50
23/11/2020,0:00:51
24/11/2020,0:00:59
25/11/2020,0:00:49
26/11/2020,0:01:02
27/11/2020,0:00:56
28/11/2020,0:01:06
29/11/2020,0:00:55
30/11/2020,0:00:46
1/12/2020,0:00:52
2/12/2020,0:00:52
3/12/2020,0:00:51
4/12/2020,0:00:56
5/12/2020,0:01:07
6/12/2020,0:00:45
7/12/2020,0:00:50
8/12/2020,0:01:00
9/12/2020,0:00:57
10/12/2020,0:01:01
11/12/2020,0:00:50
12/12/2020,0:01:02
13/12/2020,0:00:50
14/12/2020,0:00:49
15/12/2020,0:00:52
16/12/2020,0:00:45
17/12/2020,0:00:59
18/12/2020,0:00:54
19/12/2020,0:00:43
20/12/2020,0:00:41
21/12/2020,0:00:54
22/12/2020,0:00:58
23/12/2020,0:00:57
24/12/2020,0:01:12
25/12/2020,0:00:45
26/12/2020,0:00:53
27/12/2020,0:00:47
28/12/2020,0:00:46
29/12/2020,0:01:01
30/12/2020,0:00:59
31/12/2020,0:00:56
1/1/2021,0:01:09
2/1/2021,0:01:06
3/1/2021,0:00:50
4/1/2021,0:00:57
5/1/2021,0:00:52
6/1/2021,0:01:02
7/1/2021,0:00:45
8/1/2021,0:00:46
9/1/2021,0:01:01
10/1/2021,0:00:43
11/1/2021,0:00:52
12/1/2021,0:00:57
13/01/2021,0:00:56
14/01/2021,0:01:00
15/01/2021,0:01:01
16/01/2021,0:00:54
17/01/2021,0:00:53
18/01/2021,0:00:44
19/01/2021,0:00:43
20/01/2021,0:00:44
21/01/2021,0:00:59
22/01/2021,0:00:54
23/01/2021,0:00:40
24/01/2021,0:00:54
25/01/2021,0:01:04
26/01/2021,0:00:44
27/01/2021,0:01:02
28/01/2021,0:00:51
29/01/2021,0:00:54
30/01/2021,0:00:49
31/01/2021,0:00:42
1/2/2021,0:00:43
2/2/2021,0:00:57
3/2/2021,0:01:00
4/2/2021,0:00:56
5/2/2021,0:00:49
6/2/2021,0:00:46
7/2/2021,0:00:41
8/2/2021,0:01:05
9/2/2021,0:00:45
10/2/2021,0:01:04
11/2/2021,0:00:48
12/2/2021,0:00:51
13/02/2021,0:00:51
14/02/2021,0:00:45
15/02/2021,0:00:40
16/02/2021,0:00:53
17/02/2021,0:01:02
