date,nbr_users
7/6/2021,264
7/7/2021,246
7/8/2021,207
7/9/2021,116
7/10/2021,100
7/11/2021,104
7/12/2021,88
7/13/2021,134
7/14/2021,230
7/15/2021,248
7/16/2021,209
7/17/2021,193
7/18/2021,191
7/19/2021,193
7/20/2021,163
7/21/2021,202
7/22/2021,168
7/23/2021,264
7/24/2021,234
7/25/2021,166
7/26/2021,165
7/27/2021,180
7/28/2021,196
7/29/2021,221
7/30/2021,373
7/31/2021,419
8/1/2021,396
8/2/2021,345
8/3/2021,326
8/4/2021,367
8/5/2021,394
8/6/2021,336
8/7/2021,319
8/8/2021,273
8/9/2021,280
8/10/2021,288
8/11/2021,290
8/12/2021,288
8/13/2021,293
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
